USEDESC,MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,4,375.0,375.0,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,5,274.67905880697805,274.67905880697805,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,6,365.4579988645494,340.90909090909093,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,7,299.7434978219837,270.348001150417,5
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,8,278.3470490042848,278.3470490042848,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,9,294.83870967741933,294.83870967741933,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,11,219.44444444444449,219.44444444444449,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,12,268.1818181818182,268.1818181818182,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2025,1,203.95241749808136,203.95241749808136,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2025,2,250.0,250.0,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2025,3,305.63495192207415,326.27272727272725,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2025,4,234.52116817288092,177.09291628334867,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2025,5,305.24713372032943,311.59256262425447,4
CONDOMINIUM,16TH WARD - PITTSBURGH,2012,3,164.49511400651463,164.49511400651463,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2012,7,148.8599348534202,148.8599348534202,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2012,11,250.0,250.0,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2013,7,156.29984051036683,156.29984051036683,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2013,8,156.35179153094464,156.35179153094464,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2013,10,117.58957654723126,117.58957654723126,2
CONDOMINIUM,16TH WARD - PITTSBURGH,2014,5,235.83061889250817,235.83061889250817,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2014,7,234.25925925925927,234.25925925925927,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2015,8,142.04545454545453,142.04545454545453,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2016,3,208.46905537459284,208.46905537459284,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2016,5,143.25732899022802,143.25732899022802,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2016,6,124.13029315960912,124.13029315960912,2
CONDOMINIUM,16TH WARD - PITTSBURGH,2016,7,172.6384364820847,172.6384364820847,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2016,8,193.48534201954396,193.48534201954396,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2017,6,254.2372881355932,254.2372881355932,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2017,8,254.08348457350272,254.08348457350272,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2018,4,158.95765472312704,158.95765472312704,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2018,5,152.76872964169382,152.76872964169382,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2018,6,171.75141242937852,171.75141242937852,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2018,9,275.86206896551727,275.86206896551727,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2019,4,257.14285714285717,257.14285714285717,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2019,7,171.3355048859935,171.3355048859935,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2020,4,215.56430208710339,215.56430208710339,2
CONDOMINIUM,16TH WARD - PITTSBURGH,2020,5,139.41368078175896,139.41368078175896,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2020,6,155.37459283387622,155.37459283387622,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2021,11,178.8273615635179,178.8273615635179,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2022,1,321.2962962962963,321.2962962962963,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2022,4,162.8013029315961,162.8013029315961,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2022,9,265.47231270358304,265.47231270358304,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2023,1,204.88377808988764,204.88377808988764,2
CONDOMINIUM,16TH WARD - PITTSBURGH,2023,6,334.8484848484849,334.8484848484849,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2023,8,175.5700325732899,175.5700325732899,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2023,11,211.7263843648209,211.7263843648209,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2024,4,175.89576547231272,175.89576547231272,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2024,12,116.38418079096046,116.38418079096046,1
CONDOMINIUM,16TH WARD - PITTSBURGH,2025,3,332.0158102766798,332.0158102766798,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2012,2,137.7840909090909,137.7840909090909,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2012,3,181.8181818181818,181.8181818181818,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2012,5,195.04643962848297,195.04643962848297,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2012,6,179.073175655574,179.34782608695653,3
CONDOMINIUM,17TH WARD - PITTSBURGH,2012,8,169.0340909090909,169.0340909090909,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2012,9,186.85176475826583,186.85176475826583,2
CONDOMINIUM,17TH WARD - PITTSBURGH,2012,10,184.12616416746366,184.12616416746366,2
CONDOMINIUM,17TH WARD - PITTSBURGH,2013,3,170.77045274027006,170.77045274027006,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2013,5,151.59944367176635,151.59944367176635,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2013,8,162.0559860163287,162.0559860163287,2
CONDOMINIUM,17TH WARD - PITTSBURGH,2014,7,204.3010752688172,204.3010752688172,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2016,3,138.88888888888889,138.88888888888889,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2016,5,188.77551020408163,188.77551020408163,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2016,7,166.66666666666666,166.66666666666666,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2016,9,180.9782608695652,180.9782608695652,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2017,8,175.73696145124717,175.73696145124717,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2017,11,204.47284345047925,204.47284345047925,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2018,2,170.06802721088437,170.06802721088437,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2018,3,172.90249433106575,172.90249433106575,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2018,7,130.38548752834467,130.38548752834467,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2019,3,129.0516206482593,129.0516206482593,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2019,5,80.32128514056225,80.32128514056225,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2019,6,216.30434782608697,216.30434782608697,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2019,8,182.68467037331217,182.68467037331217,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2020,1,116.21315192743764,116.21315192743764,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2020,4,215.05376344086025,215.05376344086025,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2020,7,217.4922600619195,217.4922600619195,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2020,9,168.87816646562123,168.87816646562123,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2021,1,185.1851851851852,185.1851851851852,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2021,2,273.972602739726,273.972602739726,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2021,7,257.6078311242531,239.1304347826087,3
CONDOMINIUM,17TH WARD - PITTSBURGH,2021,8,283.5978835978836,283.5978835978836,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2021,9,209.69342807641124,180.94937589756245,4
CONDOMINIUM,17TH WARD - PITTSBURGH,2021,10,252.5814138204925,252.5814138204925,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2022,1,192.91819291819291,192.91819291819291,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2022,2,173.61111111111111,173.61111111111111,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2022,3,274.88425925925924,274.88425925925924,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2022,5,229.89144316730523,229.89144316730523,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2022,6,167.91044776119404,167.91044776119404,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2022,8,195.2027027027027,195.2027027027027,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2022,9,120.4028021015762,120.4028021015762,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2022,10,218.6610120882421,218.6610120882421,2
CONDOMINIUM,17TH WARD - PITTSBURGH,2022,11,208.6230876216968,208.6230876216968,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2022,12,236.48648648648648,236.48648648648648,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2023,3,228.7851894089191,228.7851894089191,2
CONDOMINIUM,17TH WARD - PITTSBURGH,2023,5,198.86363636363637,198.86363636363637,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2023,6,188.71753246753246,188.71753246753246,2
CONDOMINIUM,17TH WARD - PITTSBURGH,2023,7,253.86996904024767,253.86996904024767,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2023,10,285.94122319301033,285.94122319301033,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2023,11,258.7837837837838,258.7837837837838,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2024,5,178.57142857142858,178.57142857142858,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2024,8,340.12219959266804,340.12219959266804,1
CONDOMINIUM,17TH WARD - PITTSBURGH,2024,10,152.62515262515262,152.62515262515262,1
CONDOMINIUM,18TH WARD - PITTSBURGH,2013,2,211.24301675977657,211.24301675977657,1
CONDOMINIUM,18TH WARD - PITTSBURGH,2013,12,200.2053388090349,200.2053388090349,1
CONDOMINIUM,18TH WARD - PITTSBURGH,2017,1,250.42896362388467,250.42896362388467,2
CONDOMINIUM,18TH WARD - PITTSBURGH,2017,9,250.5147563486616,250.5147563486616,1
CONDOMINIUM,18TH WARD - PITTSBURGH,2019,6,286.31284916201116,286.31284916201116,1
CONDOMINIUM,18TH WARD - PITTSBURGH,2021,9,350.03431708991076,350.03431708991076,1
CONDOMINIUM,18TH WARD - PITTSBURGH,2024,6,315.7172271791352,315.7172271791352,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2012,2,164.63090812533193,164.63090812533193,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2012,11,330.1606186793575,330.1606186793575,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2012,12,178.99761336515513,178.99761336515513,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2013,3,169.64836520666256,169.64836520666256,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2013,4,203.27421555252388,203.27421555252388,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2013,5,219.59459459459455,219.59459459459455,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2013,8,154.46224256292905,154.46224256292905,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2013,12,186.41810918774968,186.41810918774968,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2014,5,283.6304700162075,283.6304700162075,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2014,7,257.26511756924714,257.26511756924714,2
CONDOMINIUM,19TH WARD - PITTSBURGH,2015,7,252.94525294525295,252.94525294525295,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2015,9,269.9530516431925,269.9530516431925,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2015,10,372.07654145995747,372.07654145995747,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2016,3,143.53548427708552,140.7328730748805,3
CONDOMINIUM,19TH WARD - PITTSBURGH,2016,5,392.7986906710311,392.7986906710311,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2016,6,177.2853185595568,177.2853185595568,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2016,11,297.5736055858638,297.5736055858638,2
CONDOMINIUM,19TH WARD - PITTSBURGH,2017,4,260.98667227517757,260.98667227517757,2
CONDOMINIUM,19TH WARD - PITTSBURGH,2017,5,219.4102533825739,219.4102533825739,2
CONDOMINIUM,19TH WARD - PITTSBURGH,2017,6,236.73455811426606,236.73455811426606,2
CONDOMINIUM,19TH WARD - PITTSBURGH,2017,7,394.6652150244964,394.6652150244964,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2017,10,242.15552523874487,242.15552523874487,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2018,1,367.68901569186875,367.68901569186875,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2018,6,213.20852834113364,213.20852834113364,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2018,12,239.2095683827353,239.2095683827353,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2019,3,171.62471395881008,171.62471395881008,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2019,5,220.65727699530515,220.65727699530515,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2019,9,208.88972175987413,208.88972175987413,2
CONDOMINIUM,19TH WARD - PITTSBURGH,2019,12,317.824377457405,317.824377457405,1
CONDOMINIUM,19TH WARD - PITTSBURGH,2020,1,101.40845070422536,101.40845070422536,1
