MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
10TH WARD - PITTSBURGH,2013,7,83.7320750681291,86.58536585365853,7
10TH WARD - PITTSBURGH,2013,8,56.11971953552877,60.830093136303155,4
10TH WARD - PITTSBURGH,2013,9,37.878787878787875,37.878787878787875,1
10TH WARD - PITTSBURGH,2013,10,56.4058466724669,50.987121198822706,8
10TH WARD - PITTSBURGH,2013,11,51.929274377958144,39.0347764371895,7
10TH WARD - PITTSBURGH,2013,12,62.623987237394886,66.0791484827996,10
10TH WARD - PITTSBURGH,2014,1,,,0
10TH WARD - PITTSBURGH,2014,2,64.42463533225283,64.42463533225283,1
10TH WARD - PITTSBURGH,2014,3,67.56756756756756,67.56756756756756,1
10TH WARD - PITTSBURGH,2014,4,,,0
10TH WARD - PITTSBURGH,2014,5,99.3179584995087,99.3179584995087,2
10TH WARD - PITTSBURGH,2014,6,84.58393009206247,99.17920656634747,5
10TH WARD - PITTSBURGH,2014,7,87.88134533555784,97.54142169962589,3
10TH WARD - PITTSBURGH,2014,8,82.3406038729277,89.43977591036415,4
10TH WARD - PITTSBURGH,2014,9,98.37896251265302,89.45289309037767,6
10TH WARD - PITTSBURGH,2014,10,92.17648555108781,89.0517834039766,4
10TH WARD - PITTSBURGH,2014,11,17.523364485981308,17.523364485981308,1
10TH WARD - PITTSBURGH,2014,12,,,0
10TH WARD - PITTSBURGH,2015,1,59.66319165998396,59.66319165998396,1
10TH WARD - PITTSBURGH,2015,2,,,0
10TH WARD - PITTSBURGH,2015,3,87.0013636083473,87.0013636083473,2
10TH WARD - PITTSBURGH,2015,4,124.87645116321589,130.20833333333334,3
10TH WARD - PITTSBURGH,2015,5,130.49098496389445,118.39774557165862,6
10TH WARD - PITTSBURGH,2015,6,103.3289569431102,110.64927958396078,8
10TH WARD - PITTSBURGH,2015,7,,,0
10TH WARD - PITTSBURGH,2015,8,89.29332940731851,119.92,5
10TH WARD - PITTSBURGH,2015,9,103.7673251169507,116.19601328903654,3
10TH WARD - PITTSBURGH,2015,10,119.21190978274026,129.5509708737864,5
10TH WARD - PITTSBURGH,2015,11,135.48850574712645,135.48850574712645,2
10TH WARD - PITTSBURGH,2015,12,110.90458488228003,110.90458488228003,1
10TH WARD - PITTSBURGH,2016,1,118.90602055800295,118.90602055800295,2
10TH WARD - PITTSBURGH,2016,2,122.75525705604862,122.75525705604862,2
10TH WARD - PITTSBURGH,2016,3,109.98307952622672,109.98307952622672,1
10TH WARD - PITTSBURGH,2016,4,92.73453280156308,69.87048398091343,5
10TH WARD - PITTSBURGH,2016,5,115.12673975454047,110.04447844070486,4
10TH WARD - PITTSBURGH,2016,6,121.8482937630622,128.30451676335366,6
