MUNIDESC,SALE_YEAR,annual_sale_count
29TH WARD - PITTSBURGH,2016,28
29TH WARD - PITTSBURGH,2017,36
29TH WARD - PITTSBURGH,2018,33
29TH WARD - PITTSBURGH,2019,28
29TH WARD - PITTSBURGH,2020,51
29TH WARD - PITTSBURGH,2021,59
29TH WARD - PITTSBURGH,2022,88
29TH WARD - PITTSBURGH,2023,96
29TH WARD - PITTSBURGH,2024,67
29TH WARD - PITTSBURGH,2025,25
2ND WARD  - DUQUESNE,2012,19
2ND WARD  - DUQUESNE,2013,5
2ND WARD  - DUQUESNE,2017,2
2ND WARD  - DUQUESNE,2018,6
2ND WARD  - DUQUESNE,2019,4
2ND WARD  - DUQUESNE,2020,6
2ND WARD  - DUQUESNE,2021,5
2ND WARD  - DUQUESNE,2022,6
2ND WARD  - DUQUESNE,2023,8
2ND WARD  - DUQUESNE,2024,4
2ND WARD  - DUQUESNE,2025,3
2ND WARD - CLAIRTON,2012,45
2ND WARD - CLAIRTON,2013,19
2ND WARD - CLAIRTON,2014,7
2ND WARD - CLAIRTON,2015,2
2ND WARD - CLAIRTON,2016,17
2ND WARD - CLAIRTON,2017,14
2ND WARD - CLAIRTON,2018,24
2ND WARD - CLAIRTON,2019,18
2ND WARD - CLAIRTON,2020,28
2ND WARD - CLAIRTON,2021,25
2ND WARD - CLAIRTON,2022,34
2ND WARD - CLAIRTON,2023,33
2ND WARD - CLAIRTON,2024,28
2ND WARD - CLAIRTON,2025,15
2ND WARD - MCKEESPORT,2022,1
2ND WARD - PITTSBURGH,2012,33
2ND WARD - PITTSBURGH,2013,13
2ND WARD - PITTSBURGH,2014,11
2ND WARD - PITTSBURGH,2015,8
2ND WARD - PITTSBURGH,2016,10
2ND WARD - PITTSBURGH,2017,12
2ND WARD - PITTSBURGH,2018,12
2ND WARD - PITTSBURGH,2019,8
2ND WARD - PITTSBURGH,2020,21
2ND WARD - PITTSBURGH,2021,33
2ND WARD - PITTSBURGH,2022,45
2ND WARD - PITTSBURGH,2023,39
2ND WARD - PITTSBURGH,2024,46
2ND WARD - PITTSBURGH,2025,14
30TH WARD - PITTSBURGH,2012,43
30TH WARD - PITTSBURGH,2013,10
30TH WARD - PITTSBURGH,2014,1
30TH WARD - PITTSBURGH,2015,7
30TH WARD - PITTSBURGH,2016,3
30TH WARD - PITTSBURGH,2017,11
30TH WARD - PITTSBURGH,2018,11
30TH WARD - PITTSBURGH,2019,6
30TH WARD - PITTSBURGH,2020,8
30TH WARD - PITTSBURGH,2021,23
30TH WARD - PITTSBURGH,2022,28
30TH WARD - PITTSBURGH,2023,23
30TH WARD - PITTSBURGH,2024,15
30TH WARD - PITTSBURGH,2025,6
31ST WARD - PITTSBURGH,2012,34
31ST WARD - PITTSBURGH,2013,24
31ST WARD - PITTSBURGH,2014,4
31ST WARD - PITTSBURGH,2015,15
31ST WARD - PITTSBURGH,2016,13
31ST WARD - PITTSBURGH,2017,11
31ST WARD - PITTSBURGH,2018,21
31ST WARD - PITTSBURGH,2019,15
31ST WARD - PITTSBURGH,2020,37
31ST WARD - PITTSBURGH,2021,28
31ST WARD - PITTSBURGH,2022,45
31ST WARD - PITTSBURGH,2023,41
31ST WARD - PITTSBURGH,2024,37
31ST WARD - PITTSBURGH,2025,15
32ND WARD - PITTSBURGH,2012,46
32ND WARD - PITTSBURGH,2013,36
32ND WARD - PITTSBURGH,2014,20
32ND WARD - PITTSBURGH,2015,29
32ND WARD - PITTSBURGH,2016,39
32ND WARD - PITTSBURGH,2017,37
32ND WARD - PITTSBURGH,2018,39
32ND WARD - PITTSBURGH,2019,18
32ND WARD - PITTSBURGH,2020,31
32ND WARD - PITTSBURGH,2021,33
32ND WARD - PITTSBURGH,2022,63
32ND WARD - PITTSBURGH,2023,61
32ND WARD - PITTSBURGH,2024,46
32ND WARD - PITTSBURGH,2025,27
3RD WARD  - DUQUESNE,2012,12
3RD WARD  - DUQUESNE,2013,3
3RD WARD  - DUQUESNE,2014,4
3RD WARD  - DUQUESNE,2016,2
3RD WARD  - DUQUESNE,2017,2
3RD WARD  - DUQUESNE,2018,5
3RD WARD  - DUQUESNE,2019,1
3RD WARD  - DUQUESNE,2020,9
3RD WARD  - DUQUESNE,2021,6
3RD WARD  - DUQUESNE,2022,10
3RD WARD  - DUQUESNE,2023,4
3RD WARD  - DUQUESNE,2024,7
3RD WARD  - DUQUESNE,2025,5
3RD WARD - MCKEESPORT,2021,1
3RD WARD - PITTSBURGH,2012,13
3RD WARD - PITTSBURGH,2013,15
3RD WARD - PITTSBURGH,2014,6
3RD WARD - PITTSBURGH,2015,3
3RD WARD - PITTSBURGH,2016,8
3RD WARD - PITTSBURGH,2017,12
3RD WARD - PITTSBURGH,2018,5
3RD WARD - PITTSBURGH,2019,4
3RD WARD - PITTSBURGH,2020,5
3RD WARD - PITTSBURGH,2021,16
3RD WARD - PITTSBURGH,2022,18
3RD WARD - PITTSBURGH,2023,16
3RD WARD - PITTSBURGH,2024,16
3RD WARD - PITTSBURGH,2025,7
4TH WARD - PITTSBURGH,2012,71
4TH WARD - PITTSBURGH,2013,65
4TH WARD - PITTSBURGH,2014,18
4TH WARD - PITTSBURGH,2015,22
4TH WARD - PITTSBURGH,2016,30
4TH WARD - PITTSBURGH,2017,29
4TH WARD - PITTSBURGH,2018,46
4TH WARD - PITTSBURGH,2019,19
4TH WARD - PITTSBURGH,2020,36
4TH WARD - PITTSBURGH,2021,47
4TH WARD - PITTSBURGH,2022,78
4TH WARD - PITTSBURGH,2023,80
4TH WARD - PITTSBURGH,2024,74
4TH WARD - PITTSBURGH,2025,23
5TH WARD  - MCKEESPORT,2013,1
5TH WARD  - MCKEESPORT,2021,2
5TH WARD  - MCKEESPORT,2022,2
5TH WARD  - MCKEESPORT,2023,1
5TH WARD  - MCKEESPORT,2024,1
5TH WARD - PITTSBURGH,2012,17
5TH WARD - PITTSBURGH,2013,13
5TH WARD - PITTSBURGH,2014,3
5TH WARD - PITTSBURGH,2015,6
5TH WARD - PITTSBURGH,2016,4
5TH WARD - PITTSBURGH,2017,9
5TH WARD - PITTSBURGH,2018,12
5TH WARD - PITTSBURGH,2019,9
5TH WARD - PITTSBURGH,2020,7
5TH WARD - PITTSBURGH,2021,13
5TH WARD - PITTSBURGH,2022,12
5TH WARD - PITTSBURGH,2023,8
5TH WARD - PITTSBURGH,2024,10
5TH WARD - PITTSBURGH,2025,4
6TH WARD  - MCKEESPORT,2012,3
6TH WARD  - MCKEESPORT,2013,1
6TH WARD  - MCKEESPORT,2014,2
6TH WARD  - MCKEESPORT,2015,1
6TH WARD  - MCKEESPORT,2017,1
6TH WARD  - MCKEESPORT,2019,2
6TH WARD  - MCKEESPORT,2020,3
6TH WARD  - MCKEESPORT,2021,1
6TH WARD  - MCKEESPORT,2022,2
6TH WARD  - MCKEESPORT,2023,5
6TH WARD  - MCKEESPORT,2024,2
6TH WARD  - MCKEESPORT,2025,1
6TH WARD - PITTSBURGH,2012,43
6TH WARD - PITTSBURGH,2013,32
6TH WARD - PITTSBURGH,2014,8
6TH WARD - PITTSBURGH,2015,12
6TH WARD - PITTSBURGH,2016,14
6TH WARD - PITTSBURGH,2017,23
6TH WARD - PITTSBURGH,2018,21
6TH WARD - PITTSBURGH,2019,24
6TH WARD - PITTSBURGH,2020,22
6TH WARD - PITTSBURGH,2021,39
6TH WARD - PITTSBURGH,2022,29
6TH WARD - PITTSBURGH,2023,28
6TH WARD - PITTSBURGH,2024,31
6TH WARD - PITTSBURGH,2025,15
7TH WARD  - MCKEESPORT,2012,35
7TH WARD  - MCKEESPORT,2013,11
7TH WARD  - MCKEESPORT,2014,3
7TH WARD  - MCKEESPORT,2015,6
7TH WARD  - MCKEESPORT,2016,6
7TH WARD  - MCKEESPORT,2017,13
7TH WARD  - MCKEESPORT,2018,10
7TH WARD  - MCKEESPORT,2019,11
7TH WARD  - MCKEESPORT,2020,12
7TH WARD  - MCKEESPORT,2021,10
7TH WARD  - MCKEESPORT,2022,17
7TH WARD  - MCKEESPORT,2023,16
7TH WARD  - MCKEESPORT,2024,21
7TH WARD  - MCKEESPORT,2025,9
7TH WARD - PITTSBURGH,2012,125
7TH WARD - PITTSBURGH,2013,101
7TH WARD - PITTSBURGH,2014,40
7TH WARD - PITTSBURGH,2015,48
7TH WARD - PITTSBURGH,2016,51
7TH WARD - PITTSBURGH,2017,58
7TH WARD - PITTSBURGH,2018,61
7TH WARD - PITTSBURGH,2019,34
