MUNIDESC,SF_BUCKET,MEAN_PPSF,MEDIAN_PPSF,STD_PPSF,SAMPLE_SIZE,TIME_BAND
8TH WARD  - MCKEESPORT,1501–2000,21.25832204474137,21.99419568822554,12.091524502274632,8,2012
8TH WARD  - MCKEESPORT,2001–2500,22.40140425678533,26.429601153291685,12.845123950679096,3,2012
8TH WARD - PITTSBURGH,0–1000,52.20772775503517,61.944054307116104,36.96462413299062,6,2012
8TH WARD - PITTSBURGH,1001–1500,72.84527712010767,77.77777777777777,28.115567287489018,11,2012
8TH WARD - PITTSBURGH,1501–2000,68.87325547524048,66.66101847709228,35.011031956134744,16,2012
8TH WARD - PITTSBURGH,2001–2500,72.71115454122076,70.20547945205479,40.59193333998421,9,2012
8TH WARD - PITTSBURGH,2501–3000,54.15510086232308,53.840479818133446,34.61066602591433,4,2012
8TH WARD - PITTSBURGH,3001+,69.97588355533847,65.75761038734885,32.167801002827986,10,2012
9TH WARD  -  MCKEESPORT,0–1000,43.94543514242298,44.82491134751773,19.463560520215413,4,2012
9TH WARD  -  MCKEESPORT,1001–1500,22.619505554657692,20.86220682302772,15.448027832493093,12,2012
9TH WARD  -  MCKEESPORT,1501–2000,19.833096344499165,17.412935323383085,8.532441286103772,5,2012
9TH WARD  -  MCKEESPORT,2001–2500,21.77972500397393,21.77972500397393,0.7567312675788301,2,2012
9TH WARD  -  MCKEESPORT,3001+,4.59887583035258,4.59887583035258,,1,2012
9TH WARD - PITTSBURGH,0–1000,56.95394794889031,58.709315285219404,34.96417196827074,14,2012
9TH WARD - PITTSBURGH,1001–1500,71.2181756788188,76.5728476821192,39.50554551537257,27,2012
9TH WARD - PITTSBURGH,1501–2000,73.211299134252,67.09932845544753,44.65807703265262,20,2012
9TH WARD - PITTSBURGH,2001–2500,46.369417785268574,40.27130139889784,23.286316072092603,11,2012
9TH WARD - PITTSBURGH,2501–3000,39.394670832478575,34.4563466779937,28.803087338087103,6,2012
9TH WARD - PITTSBURGH,3001+,53.05762713056589,53.05762713056589,7.421274182651261,2,2012
ALEPPO,1001–1500,89.26484182688226,88.67396390374331,5.180804518073255,8,2012
ALEPPO,1501–2000,101.4834909171821,91.48861995119279,52.71782284185043,10,2012
ALEPPO,2001–2500,127.01030927835052,127.01030927835052,,1,2012
ALEPPO,2501–3000,71.49955803358945,71.49955803358945,33.74765315810241,2,2012
ASPINWALL,0–1000,88.58661569338604,76.38072855464159,26.429207721181026,3,2012
ASPINWALL,1001–1500,140.79959901923937,153.35308441558442,44.777887707954406,6,2012
ASPINWALL,1501–2000,122.27439665184761,117.10691823899371,39.08164562595844,5,2012
ASPINWALL,2001–2500,112.51687749070042,119.96421883360085,28.639607699174622,6,2012
ASPINWALL,2501–3000,117.3054587688734,117.3054587688734,,1,2012
